Name,Release_Year,Description,Minimum_Players,Maximum_Players,Minimum_Time,Maximum_Time,Age_Rating,Complexity_Score,BGG_Rating,Game_Categories,Game_Mechanics,BGG_Rank,Complexity_Category
Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",2,4,60,120,14,3.9,8.59,"['age-of-reason', 'economic', 'industry-manufacturing', 'post-napoleonic', 'trains', 'transportation']","['hand-management', 'income', 'loans', 'market', 'multi-use-cards', 'network-and-route-building', 'tags', 'tech-trees-tech-tracks', 'turn-order-stat-based', 'variable-set-up']",1,Medium
Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,2,4,40,80,13,2.8,8.52,"['environmental', 'medical']","['action-points', 'cooperative-game', 'hand-management', 'legacy-game', 'point-to-point-movement', 'scenario-mission-campaign-game', 'set-collection', 'tags', 'trading', 'variable-player-powers']",2,Medium
Ark Nova,2021,"Plan and build a modern, scientifically managed zoo to support conservation projects.",1,4,90,150,14,3.8,8.53,"['animals', 'economic', 'environmental']","['action-queue', 'end-game-bonuses', 'grid-coverage', 'hand-management', 'hexagon-grid', 'income', 'increase-value-of-unchosen-resources', 'open-drafting', 'race', 'set-collection', 'solo-solitaire-game', 'tags', 'tile-placement', 'variable-player-powers', 'variable-set-up']",3,Medium
Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,1,4,60,120,14,3.9,8.57,"['adventure', 'exploration', 'fantasy', 'fighting', 'miniatures']","['action-queue', 'action-retrieval', 'campaign-battle-card-driven', 'card-play-conflict-resolution', 'communication-limits', 'cooperative-game', 'critical-hits-and-failures', 'deck-construction', 'grid-movement', 'hand-management', 'hexagon-grid', 'legacy-game', 'line-of-sight', 'modular-board', 'multi-use-cards', 'narrative-choice-paragraph', 'once-per-game-abilities', 'role-playing', 'scenario-mission-campaign-game', 'simultaneous-action-selection', 'solo-solitaire-game', 'storytelling', 'tags', 'variable-player-powers']",4,Medium
Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",3,6,240,480,14,4.3,8.59,"['civilization', 'economic', 'exploration', 'negotiation', 'political', 'science-fiction', 'space-exploration', 'wargame']","['action-drafting', 'area-impulse', 'dice-rolling', 'follow', 'grid-movement', 'hexagon-grid', 'increase-value-of-unchosen-resources', 'king-of-the-hill', 'modular-board', 'movement-points', 'race', 'tech-trees-tech-tracks', 'trading', 'variable-phase-order', 'variable-player-powers', 'variable-set-up', 'voting']",5,Heavy
Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",1,4,60,120,14,3.1,8.43,"['movies-tv-radio-theme', 'novel-based', 'political', 'science-fiction']","['card-play-conflict-resolution', 'deck-bag-and-pool-building', 'delayed-purchase', 'force-commitment', 'increase-value-of-unchosen-resources', 'multi-use-cards', 'open-drafting', 'race', 'solo-solitaire-game', 'tags', 'take-that', 'turn-order-progressive', 'variable-player-powers', 'worker-placement']",6,Medium
Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,1,5,100,140,12,3.3,8.35,"['economic', 'environmental', 'industry-manufacturing', 'science-fiction', 'space-exploration', 'territory-building']","['closed-drafting', 'contracts', 'end-game-bonuses', 'hand-management', 'hexagon-grid', 'income', 'set-collection', 'solo-solitaire-game', 'tags', 'take-that', 'tech-trees-tech-tracks', 'tile-placement', 'turn-order-progressive', 'variable-player-powers', 'variable-set-up', 'victory-points-as-a-resource']",7,Medium
War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,2,4,150,180,13,4.2,8.55,"['fantasy', 'fighting', 'novel-based', 'territory-building', 'wargame']","['action-drafting', 'area-majority-influence', 'area-movement', 'campaign-battle-card-driven', 'card-play-conflict-resolution', 'dice-rolling', 'events', 'hand-management', 'movement-points', 'team-based-game', 'variable-set-up']",8,Heavy
Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,2,4,180,240,14,3.7,8.42,"['civil-war', 'miniatures', 'movies-tv-radio-theme', 'science-fiction', 'space-exploration', 'wargame']","['area-majority-influence', 'area-movement', 'area-impulse', 'card-play-conflict-resolution', 'contracts', 'delayed-purchase', 'dice-rolling', 'die-icon-resolution', 'events', 'hand-management', 'hidden-movement', 'income', 'once-per-game-abilities', 'tags', 'take-that', 'team-based-game', 'variable-player-powers', 'variable-set-up', 'worker-placement-different-worker-types']",9,Medium
Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,1,4,90,120,13,4.1,8.34,"['environmental', 'fantasy', 'fighting', 'mythology', 'territory-building']","['action-retrieval', 'area-majority-influence', 'automatic-resource-growth', 'campaign-battle-card-driven', 'cooperative-game', 'hand-management', 'modular-board', 'simultaneous-action-selection', 'solo-solitaire-game', 'tags', 'variable-player-powers', 'variable-set-up']",10,Heavy
Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,1,4,30,120,14,3.6,8.41,"['adventure', 'exploration', 'fantasy', 'fighting', 'miniatures']","['action-queue', 'action-retrieval', 'campaign-battle-card-driven', 'communication-limits', 'cooperative-game', 'critical-hits-and-failures', 'deck-construction', 'grid-movement', 'hand-management', 'hexagon-grid', 'legacy-game', 'line-of-sight', 'multi-use-cards', 'once-per-game-abilities', 'scenario-mission-campaign-game', 'simultaneous-action-selection', 'solo-solitaire-game', 'variable-player-powers']",11,Medium
Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",1,4,60,150,12,4.4,8.37,"['civilization', 'economic', 'miniatures', 'science-fiction', 'space-exploration', 'territory-building']","['end-game-bonuses', 'hexagon-grid', 'income', 'modular-board', 'network-and-route-building', 'solo-solitaire-game', 'tags', 'tech-trees-tech-tracks', 'turn-order-pass-order', 'variable-player-powers', 'variable-set-up', 'victory-points-as-a-resource']",12,Heavy
Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,2,2,120,180,13,3.6,8.24,"['modern-warfare', 'political', 'wargame']","['action-event', 'advantage-token', 'area-majority-influence', 'campaign-battle-card-driven', 'dice-rolling', 'events', 'hand-management', 'simulation', 'simultaneous-action-selection', 'sudden-death-ending', 'tug-of-war', 'variable-set-up']",13,Medium
Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,2,4,100,140,14,4.4,8.27,"['card-game', 'civilization', 'economic']","['action-points', 'auction-bidding', 'auction-dutch', 'events', 'income', 'open-drafting', 'tags', 'take-that']",14,Heavy
